"EMPLOYER_STATE_PROVINCE","EMPLOYER_CITY","EMPLOYER_POSTAL_CODE","count"
"PENNSYLVANIA","HORSHAM","19044",4
"PENNSYLVANIA","PITTSBURGH","15212",4
"PENNSYLVANIA","PITTSBURGH","15258",4
"PENNSYLVANIA","RADNOR","19087",4
"PENNSYLVANIA","READING","19603",4
"PENNSYLVANIA","READING","19606",4
"PENNSYLVANIA","SAYRE","18840",4
"PENNSYLVANIA","SOUDERTON","18964",4
"PENNSYLVANIA","WEST CHESTER","19382",4
"PENNSYLVANIA  ","PERKASIE","18944",4
"PENNSYLVANIA PA","BRIDGEVILLE","15017",4
"SOUTH CAROLINA","FORT MILL","29707",4
"SOUTH DAKOTA","MILBANK","57252",4
"TENNESSEE","BARTLETT","38134",4
"TENNESSEE","JOHNSON CITY","37614",4
"TENNESSEE","PHILADELPHIA","37846",4
"TEXAS","ALLEN","75013",4
"TEXAS","ARLINGTON","76011",4
"TEXAS","AUSTIN","78704",4
"TEXAS","AUSTIN","78744",4
"TEXAS","FORT WORTH","76102",4
"TEXAS","FORT WORTH","76109",4
"TEXAS","FRISCO","75035",4
"TEXAS","LAMESA","79331",4
"TEXAS","LEAGUE CITY","77573",4
"TEXAS","LEWISVILLE","75057",4
"TEXAS","SAN ANTONIO","78205",4
"TEXAS","WESTLAKE","76262",4
"TEXAS TX","ARLINGTON","76019",4
"TEXAS TX","DALLAS","75202",4
"UTAH","SALT LAKE CITY","84133",4
"VIRGINIA","ALEXANDRIA","22310",4
"VIRGINIA","ALEXANDRIA","22312",4
"VIRGINIA","BLACKSBURG","24060",4
"VIRGINIA","CENTREVILLE","20120",4
"VIRGINIA","DULLES","20166",4
"VIRGINIA","DUNN LORING","22027",4
"VIRGINIA","FAIRFAX STATION","22039",4
"VIRGINIA","FREDERICKSBURG","22401",4
"VIRGINIA","GREAT FALLS","22066",4
"VIRGINIA","LEESBURG","20176",4
"VIRGINIA","RICHMOND","23237",4
"VIRGINIA","SMITHFIELD","23430",4
"VIRGINIA","WOODBRIDGE","22192",4
"WASHINGTON","BOTHELL","98021",4
"WASHINGTON","LIBERTY LAKE","99019",4
"WEST VIRGINIA","HUNTINGTON","25755",4
"WISCONSIN","MILWAUKEE","53215",4
"WISCONSIN","PLEASANT PRAIRIE","53158",4
"WISCONSIN","WAUKESHA","53189",4
"WISCONSIN","WHITEWATER","53190",4
"ALABAMA","AUBURN","36849",3
"ALABAMA","CUSSETA","36852",3
"ARIZONA","PHOENIX","85016",3
"ARIZONA","PHOENIX","85018",3
"ARIZONA","PHOENIX","85028",3
"ARIZONA","PHOENIX","85051",3
"ARKANSAS","HOT SPRINGS","71913",3
"ARKANSAS","MAUMELLE","72113",3
"CALIFORNIA","ALHAMBRA","91803",3
"CALIFORNIA","BAKERSFIELD","93311",3
"CALIFORNIA","BLOOMINGTON","92316",3
"CALIFORNIA","BURBANK","91502",3
"CALIFORNIA","BURBANK","91505",3
"CALIFORNIA","CANOGA PARK","91304",3
"CALIFORNIA","CARNELIAN BAY","96140",3
"CALIFORNIA","CARSON","90745",3
"CALIFORNIA","CARSON","90747",3
"CALIFORNIA","CLAREMONT","91711",3
"CALIFORNIA","CONCORD","94521",3
"CALIFORNIA","DALY CITY","94015",3
"CALIFORNIA","DUARTE","91010",3
"CALIFORNIA","ESCONDIDO","92029",3
"CALIFORNIA","FRESNO","93721",3
"CALIFORNIA","FULLERTON","92833",3
"CALIFORNIA","GARDEN GROVE","92843",3
"CALIFORNIA","GARDENA","90249",3
"CALIFORNIA","HACIENDA HEIGHTS","91745",3
"CALIFORNIA","HAWTHORNE","90250",3
"CALIFORNIA","HUNTINGTON BEACH","92648",3
"CALIFORNIA","IRVINE","92620",3
"CALIFORNIA","LA MIRADA","90638",3
"CALIFORNIA","LA PALMA","90623",3
"CALIFORNIA","LAGUNA HILLS","92653",3
"CALIFORNIA","LONG BEACH","90815",3
"CALIFORNIA","LOS ANGELES","90011",3
"CALIFORNIA","LOS ANGELES","90012",3
"CALIFORNIA","LOS ANGELES","90019",3
"CALIFORNIA","LOS ANGELES","90024",3
"CALIFORNIA","LOS ANGELES","90026",3
"CALIFORNIA","LOS ANGELES","90048",3
"CALIFORNIA","MENIFEE","92584",3
"CALIFORNIA","MONTCLAIR","91763",3
"CALIFORNIA","NORTH HOLLYWOOD","91606",3
"CALIFORNIA","OAKLAND","94605",3
"CALIFORNIA","OXNARD","93033",3
"CALIFORNIA","PASADENA","91011",3
"CALIFORNIA","PASADENA","91125",3
"CALIFORNIA","PLACENTIA","92870",3
"CALIFORNIA","RANCHO DOMINGUEZ","90220",3
"CALIFORNIA","SALINAS","93901",3
"CALIFORNIA","SAN CARLOS","94403",3
"CALIFORNIA","SAN FRANCISCO","94118",3
"CALIFORNIA","SAN FRANCISCO","94124",3
"CALIFORNIA","SAN FRANCISCO","94129",3
"CALIFORNIA","SANTA BARBARA","93101",3
"CALIFORNIA","SANTA ROSA","95401",3
"CALIFORNIA","SHERMAN OAKS","91423",3
"CALIFORNIA","TRACY","95376",3
"CALIFORNIA","UPLAND","91786",3
"CALIFORNIA","VAN NUYS","91411",3
"CALIFORNIA","WEST HILLS","91304",3
"CALIFORNIA","WEST LAKE VILLAGE","91361",3
"CALIFORNIA","WESTMINSTER","92683",3
"CALIFORNIA","YUCAIPA","92399",3
"CALIFORNIA CA","MILPITAS","95035",3
"CALIFORNIA CA - CALIFORNIA","SANTA CLARA","95050",3
"CALIFORNIA CALIFORNIA","SAN FRANCISCO","94103",3
"CALIFORNIA CALIFORNIA","SAN FRANCISCO","94132",3
"CALIFORNIA N/A","REDWOOD CITY","94063",3
"COLORADO","BOULDER","80301",3
"COLORADO","COLORADO SPRINGS","80918",3
"COLORADO","GREELEY","80634",3
"CONNECTICUT","STORRS","06269-1177",3
"DELAWARE","BEAR","19701",3
"DELAWARE","NEWARK","19716",3
"DELAWARE","WILMINGTON","19809",3
"DISTRICT OF COLUMBIA","WASHINGTON","20010",3
"DISTRICT OF COLUMBIA","WASHINGTON","20016",3
"DISTRICT OF COLUMBIA","WASHINGTON","20024",3
"DISTRICT OF COLUMBIA","WASHINGTON","20057",3
"FLORIDA","BOCA RATON","33434",3
"FLORIDA","CLEARWATER","33760",3
"FLORIDA","DORAL","33126",3
"FLORIDA","FORT LAUDERDALE","33315",3
"FLORIDA","FORT MYERS","33966",3
"FLORIDA","FT. LAUDERDALE","33309",3
"FLORIDA","HIALEAH","33010",3
"FLORIDA","HIALEAH","33013",3
"FLORIDA","JACKSONVILLE","32207",3
"FLORIDA","JACKSONVILLE","32225",3
"FLORIDA","JUNO BEACH","33408",3
"FLORIDA","KISSIMMEE","34741",3
"FLORIDA","KISSIMMEE","34744",3
"FLORIDA","LAKELAND","33811",3
"FLORIDA","LONGWOOD","32750",3
"FLORIDA","MIAMI","33136",3
"FLORIDA","MIAMI","33143",3
"FLORIDA","MIAMI","33155",3
"FLORIDA","MIAMI","33156",3
"FLORIDA","MIAMI","33169",3
"FLORIDA","MIAMI","33170",3
"FLORIDA","MIAMI","33174",3
"FLORIDA","MIAMI GARDENS","33169",3
"FLORIDA","MIRAMAR","33025",3
"FLORIDA","ORLANDO","32816",3
"FLORIDA","ORLANDO","32821",3
"FLORIDA","ORLANDO","32822",3
"FLORIDA","ORLANDO","32835",3
"FLORIDA","PEMBROKE PINES","33029",3
"FLORIDA","SUNRISE","33351",3
"FLORIDA","TALLAHASSEE","32301",3
"FLORIDA","TALLAHASSEE","32306-4216",3
"FLORIDA","TALLAHASSEE","32308",3
"FLORIDA","TAMPA","33634",3
"FLORIDA","WEST PALM BEACH","33401",3
"FLORIDA","WEST PALM BEACH","33407",3
"FLORIDA","WESTON","33327",3
"GEORGIA","ATHENS","30602",3
"GEORGIA","ATLANTA","30305",3
"GEORGIA","ATLANTA","30340",3
"GEORGIA","ATLANTA","30349",3
"GEORGIA","CARTERSVILLE","30120",3
"GEORGIA","CHAMBLEE","30341",3
"GEORGIA","COLUMBUS","31901",3
"GEORGIA","COLUMBUS","31907",3
"GEORGIA","DORAVILLE","30340",3
"GEORGIA","LAGRANGE","30241",3
"GEORGIA","MARIETTA","30062",3
"GEORGIA","POWDER SPRINGS","30127",3
"GEORGIA","ROSWELL","30075",3
"GEORGIA","SAVANNAH","31401",3
"GEORGIA","STATESBORO","30460",3
"GEORGIA","VIDALIA","30475",3
"GEORGIA","WADLEY","30477",3
"HAWAII","HONOLULU","96826",3
"IDAHO","MOSCOW","83844",3
"IDAHO","POCATELLO","83201",3
"ILLINOIS","ALTON","62002",3
"ILLINOIS","BANNOCKBURN","60015",3
"ILLINOIS","CHAMPAIGN","61822",3
"ILLINOIS","CHICAGO","60614",3
"ILLINOIS","CHICAGO","60616",3
"ILLINOIS","GLENVIEW","60026",3
"ILLINOIS","WESTCHESTER","60154",3
"ILLINOIS","WESTERN SPRINGS","60558",3
"ILLINOIS","WESTMONT","60559",3
"ILLINOIS","WOOD DALE","60191",3
"ILLINOIS IL","SCHAUMBURG","60193",3
"INDIANA","ANDERSON","46011",3
"INDIANA","INDIANAPOLIS","46241",3
"INDIANA","INDIANAPOLIS","46250",3
"IOWA","CLIVE","50325",3
"KANSAS","HAYS","67601",3
"KANSAS","KANSAS CITY","66160-7113",3
"KANSAS","LAWRENCE","66049",3
"KANSAS","LEAVENWORTH","66048",3
"KANSAS","MANHATTAN","66506",3
"KANSAS","MERRIAM","66202",3
"KENTUCKY","LEXINGTON","40511",3
"LOUISIANA","BATON ROUGE","70816",3
"LOUISIANA","NEW ORLEANS","70148",3
"LOUISIANA","TALLULAH","71282",3
"MAINE","ORONO","04469",3
"MARYLAND","BALTIMORE","21215",3
"MARYLAND","BALTIMORE","21231",3
"MARYLAND","BELTSVILLE","20705",3
"MARYLAND","BOWIE","20715",3
"MARYLAND","CLINTON","20735",3
"MARYLAND","ELKTON","21921",3
"MARYLAND","FREDERICK","21703",3
"MARYLAND","GERMANTOWN","20874",3
"MARYLAND","JESSUP","20794",3
"MARYLAND","OWINGS MILLS","21117",3
"MARYLAND","POTOMAC","20854",3
"MARYLAND","ROCKVILLE","20855",3
"MARYLAND","TAKOMA PARK","20912",3
"MASSACHUSETTS","ALLSTON","02134",3
"MASSACHUSETTS","ATTLEBORO","02703",3
"MASSACHUSETTS","EAST BOSTON","02128",3
"MASSACHUSETTS","NEWTON","02458",3
"MASSACHUSETTS","SOMERVILLE","02144",3
"MASSACHUSETTS","SOUTHBOROUGH","01772",3
"MASSACHUSETTS","WALTHAM","02452",3
"MASSACHUSETTS","WEST YARMOUTH","02673",3
"MASSACHUSETTS MASSACHUSETTS","CAMBRIDGE","02142",3
"MICHIGAN","ADRIAN","49221",3
"MICHIGAN","BRIGHTON","48116",3
"MICHIGAN","DETROIT","48201",3
"MICHIGAN","EAST LANSING","48823",3
"MICHIGAN","GRAND RAPIDS","49503",3
"MICHIGAN","GRAND RAPIDS","49544",3
"MICHIGAN","KALAMAZOO","49008",3
"MICHIGAN","OKEMOS","48864",3
"MICHIGAN","PETOSKEY","49770",3
"MICHIGAN","ROMULUS","48174",3
"MICHIGAN","STERLING HEIGHTS","48312",3
"MICHIGAN 48083","TROY","48084",3
"MICHIGAN KENT COUNTY","GRAND RAPIDS","49505",3
"MINNESOTA","FOREST LAKE","55025",3
"MINNESOTA","LITTLE CANADA","55117",3
"MINNESOTA","MINNEAPOLIS","55411",3
"MINNESOTA","MOORHEAD","56563",3
"MINNESOTA","SHOREVIEW","55126",3
"MISSOURI","FENTON","63026",3
"MISSOURI","KANSAS CITY","64116",3
"MISSOURI","SAINT LOUIS","63103",3
"MISSOURI","SPRINGFIELD","65803",3
"MISSOURI","ST LOUIS","63131",3
"MISSOURI","ST. LOUIS","63102",3
"MISSOURI","ST. LOUIS","63132",3
"MONTANA","MISSOULA","59812",3
"NEBRASKA","LINCOLN","68588",3
"NEBRASKA","OMAHA","68144",3
"NEBRASKA N/A","OMAHA","68175",3
"NEVADA","LAS VEGAS","89102",3
"NEVADA","LAS VEGAS","89109",3
"NEVADA","LAS VEGAS","89135",3
"NEVADA","LAS VEGAS","89183",3
"NEVADA","RENO","89511",3
"NEVADA NV","LAS VEGAS","89134",3
"NEW JERSEY","HOLMDEL","07733",3
"NEW JERSEY","IRVINGTON","07111",3
"NEW JERSEY","KEARNY","07032",3
"NEW JERSEY","LINDEN","07036",3
"NEW JERSEY","LITTLE FERRY","07643",3
"NEW JERSEY","LIVINGSTON","07039",3
"NEW JERSEY","MAHWAH","07430",3
"NEW JERSEY","NEW BRUNSWICK","08901",3
"NEW JERSEY","NEW BRUNSWICK","08933",3
"NEW JERSEY","OLD BRIDGE","08857",3
"NEW JERSEY","PRINCETON JUNCTION","08550",3
"NEW JERSEY","SECAUCUS","07096",3
"NEW JERSEY","SOMERDALE","08083",3
"NEW JERSEY","SOUTHPLAINFIELD","07080",3
"NEW JERSEY","STRATFORD","08084",3
"NEW JERSEY","WOODBRIDGE","07095",3
"NEW JERSEY BERGEN COUNTY","HASBROUCK HEIGHTS","07604",3
"NEW JERSEY HOLTEC INTERNATIONAL","CAMDEN","08104",3
"NEW JERSEY INFORMATION TECHNOLOGY","EDISON","08817",3
"NEW JERSEY NEW JERSEY","MORRISTOWN","07960",3
"NEW JERSEY NJ","EDISON","08837",3
"NEW JERSEY PRIMERA ANALYTICAL SOLUTION CORP.","PRINCETON","08540",3
"NEW JERSEY SOMERSET","SOMERSET","08873",3
"NEW MEXICO","ALBUQUERQUE","87109",3
"NEW MEXICO CROSS COUNTRY DAIRY","TEXICO","88135",3
"NEW YORK","BAYSIDE","11364",3
"NEW YORK","BRONX","10461",3
"NEW YORK","BRONX","10462",3
"NEW YORK","BRONX","10467",3
"NEW YORK","BRONX","10471",3
"NEW YORK","BROOKLYN","11210",3
"NEW YORK","BROOKLYN","11211",3
"NEW YORK","BROOKLYN","11219",3
"NEW YORK","BROOKLYN","11220",3
"NEW YORK","BROOKLYN","11231",3
"NEW YORK","BROOKLYN","11234",3
"NEW YORK","BROOKLYN","11237",3
"NEW YORK","BUFFALO","14202",3
"NEW YORK","BUFFALO","14222",3
"NEW YORK","COLLEGE POINT","11356",3
"NEW YORK","CORTLAND","13045",3
"NEW YORK","FISHKILL","12524",3
"NEW YORK","GENEVA","14456",3
"NEW YORK","ITHACA","14850",3
"NEW YORK","ITHACA","14853",3
"NEW YORK","LAKE SUCCESS","11042",3
"NEW YORK","MIDDLETOWN","10940",3
"NEW YORK","NEW YORK","10055",3
"NEW YORK","NEW YORK","10104",3
"NEW YORK","NEW YORK","10118",3
"NEW YORK","NEW YORK","10153",3
"NEW YORK","NEW YORK","10177",3
"NEW YORK","NEW YORK CITY","10004",3
"NEW YORK","NEW YORK CITY","10036",3
"NEW YORK","PLAINVIEW","11803",3
"NEW YORK","PLATTSBURGH","12901",3
"NEW YORK","ROCHESTER","14614",3
"NEW YORK","SELDEN","11784",3
"NEW YORK","SYRACUSE","13204",3
"NEW YORK","TARRYTOWN","10591",3
"NEW YORK","VALLEY STREAM","11581",3
"NEW YORK","WATERFORD","12188",3
"NEW YORK N/A","FOREST HILLS","11375",3
"NEW YORK NY","LONG ISLAND CITY","11101",3
"NORTH CAROLINA","CHARLOTTE","28202",3
"NORTH CAROLINA","CHARLOTTE","28223",3
"NORTH CAROLINA","DURHAM","27704",3
"NORTH CAROLINA","DURHAM","27707",3
"NORTH CAROLINA","DURHAM","27709",3
"NORTH CAROLINA","HUNTERSVILLE","28078",3
"NORTH CAROLINA","MOORESVILLE","28117",3
"NORTH CAROLINA","WINSTON SALEM","27157",3
"NORTH DAKOTA","GRAND FORKS","58201",3
"OHIO","BRUNSWICK","44212",3
"OHIO","CHAGRIN FALLS","44023",3
"OHIO","CINCINNATI","45212",3
"OHIO","CINCINNATI","45221",3
"OHIO","CLEVELAND","44114",3
"OHIO","CLEVELAND","44124",3
"OHIO","CLEVELAND HEIGHTS","44118",3
"OHIO","HARRISON","45030",3
"OHIO","HILLIARD","43026",3
"OHIO","MEDINA","44256",3
"OHIO","MIAMISBURG","45342",3
"OHIO","NORTH CANTON","44720",3
"OHIO","TWINSBURG","44087",3
"OHIO","YOUNGSTOWN","44555",3
"OKLAHOMA","OKLAHOMA CITY","73114",3
"OKLAHOMA","OKLAHOMA CITY","73120",3
"OKLAHOMA","OKLAHOMA CITY","73131",3
"OKLAHOMA","STILLWATER","74078",3
"OREGON","BEAVERTON","97006",3
"OREGON","LAKE OSWEGO","97035",3
"OREGON","PORTLAND","97239",3
"PENNSYLVANIA","BETHLEHEM","18017",3
"PENNSYLVANIA","CAMP HILL","17011",3
"PENNSYLVANIA","CONSHOHOCKEN","19428",3
"PENNSYLVANIA","FEASTERVILLE","19053",3
"PENNSYLVANIA","HARRISBURG","17101",3
"PENNSYLVANIA","HARRISBURG","17110",3
"PENNSYLVANIA","KENNETT SQUARE","19348",3
"PENNSYLVANIA","LANSDALE","19446",3
"PENNSYLVANIA","LEWISBURG","17837",3
"PENNSYLVANIA","NEW HOPE","18938",3
"PENNSYLVANIA","PHILADELPHIA","19104",3
"PENNSYLVANIA","PHILADELPHIA","19112",3
"PENNSYLVANIA","PHILADELPHIA","19134",3
"PENNSYLVANIA","PHOENIXVILLE","19460",3
"PENNSYLVANIA","PITTSBURGH","15206",3
"PENNSYLVANIA","PITTSBURGH","15238",3
"PENNSYLVANIA","SHIPPENSBURG","17257",3
"PENNSYLVANIA","WEST CHESTER","19383",3
"PENNSYLVANIA PENNSYLVANIA","WARMINSTER","18974",3
"PUERTO RICO","SAN JUAN","00918",3
"SOUTH DAKOTA","MILLER","57362",3
"SOUTH DAKOTA","RAPID CITY","57701",3
"TENNESSEE","FRANKLIN","37064",3
"TENNESSEE","KINGSPORT","37660",3
"TENNESSEE","MEMPHIS","38125",3
"TENNESSEE","MEMPHIS","38163",3
"TENNESSEE","NASHVILLE","37214",3
"TENNESSEE","NASHVILLE","37228",3
"TENNESSEE","NASHVILLE","37238",3
"TEXAS","ANGLETON","77515",3
"TEXAS","ARGYLE","76226",3
"TEXAS","AUSTIN","78731",3
"TEXAS","BURLESON","76028",3
"TEXAS","CHANNELVIEW","77530",3
"TEXAS","COLLEGE STATION","77843",3
"TEXAS","DALLAS","75204",3
"TEXAS","DALLAS","75206",3
"TEXAS","DALLAS","75220",3
"TEXAS","DALLAS","75228",3
"TEXAS","DALLAS","75235",3
"TEXAS","DALLAS","75251",3
"TEXAS","DALLAS","75275",3
"TEXAS","DAYTON","77535",3
"TEXAS","EDINBURG","78539",3
"TEXAS","FARMERS BRANCH","75244",3
"TEXAS","FORT WORTH","76177",3
"TEXAS","GAINESVILLE","76240",3
"TEXAS","HOUSTON","77003",3
"TEXAS","HOUSTON","77029",3
"TEXAS","HOUSTON","77031",3
"TEXAS","HOUSTON","77054",3
"TEXAS","HOUSTON","77055",3
"TEXAS","HOUSTON","77081",3
"TEXAS","HOUSTON","77095",3
"TEXAS","HOUSTON","77098",3
"TEXAS","KATY","77493",3
"TEXAS","MCALLEN","78501",3
"TEXAS","MCALLEN","78504",3
"TEXAS","POINT COMFORT","77978",3
"TEXAS","SAN ANTONIO","78209",3
"TEXAS","SAN MARCOS","78666-4684",3
"TEXAS","SPRING","77389",3
"TEXAS","TAHOKA","79373",3
"TEXAS","THE WOODLANDS","77381",3
"TEXAS","WALLER","77484",3
"TEXAS N/A","AUSTIN","78728",3
"TEXAS TEXAS","HOUSTON","77056",3
"TEXAS TX","HOUSTON","77084",3
"UTAH","LINDON","84042",3
"UTAH","PAROWAN","84761",3
"UTAH","PLEASANT GROVE","84062",3
"UTAH","PROVO","84606",3
"UTAH","SALT LAKE CITY","84112",3
"UTAH","SALT LAKE CITY","84116",3
"UTAH","SARATOGA SPRINGS","84045",3
"VIRGINIA","ALEXANDRIA","22304",3
"VIRGINIA","ASHBURN","20148",3
"VIRGINIA","CHESAPEAKE","23320",3
"VIRGINIA","FAIRFAX","22033",3
"VIRGINIA","FALLS CHURCH","22046",3
"VIRGINIA","FARMVILLE","23909",3
"VIRGINIA","GAINESVILLE","20155",3
"VIRGINIA","HENRICO","23228",3
"VIRGINIA","MCLEAN","22101",3
"VIRGINIA","NEWPORT NEWS","23606",3
"VIRGINIA","RICHMOND","23219",3
"VIRGINIA","RICHMOND","23227",3
"VIRGINIA","RICHMOND","23236",3
"VIRGINIA COLLABRALINK TECHNOLOGIES, INC.","MCLEAN","22102",3
"WASHINGTON","BELLINGHAM","98225",3
"WASHINGTON","BOTHELL","98011",3
"WASHINGTON","KENT","98032",3
"WASHINGTON","RENTON","98057",3
"WASHINGTON","RENTON","98058",3
"WASHINGTON","SEATTLE","98103",3
"WISCONSIN","GLENDALE","53212",3
"WISCONSIN","KOHLER","53044",3
"WISCONSIN","MILWAUKEE","53201",3
"ALABAMA","BIRMINGHAM","35233",2
"ALABAMA","DADEVILLE","36853-2609",2
"ALABAMA","DECATUR","35601",2
"ALABAMA","HUNTSVILLE","35801",2
"ALABAMA","LIVINGSTON","35470",2
"ALABAMA","MADISON","35758",2
"ALABAMA","MOBILE","36602",2
"ALABAMA","MOBILE","36606",2
"ALABAMA","MOBILE","36608",2
"ALABAMA","PELHAM","35124",2
"ALABAMA ALABAMA","OPELIKA","36801",2
"ALABAMA ALABAMA","VALLEY","36854",2
"ARIZONA","BENSON","85602",2
"ARIZONA","CAVE CREEK","85327",2
"ARIZONA","CHANDLER","85225",2
"ARIZONA","GLENDALE","85306",2
"ARIZONA","PHOENIX","85009",2
"ARIZONA","PHOENIX","85014",2
"ARIZONA","PHOENIX","85040",2
"ARIZONA","SCOTTSDALE","85258",2
"ARIZONA","TEMPE","85284",2
"ARIZONA","TUCSON","85719",2
"ARKANSAS","FAYETTEVILLE","72703",2
"ARKANSAS","LITTLE ROCK","72201",2
"ARKANSAS","LITTLE ROCK","72202",2
"ARKANSAS","LITTLE ROCK","72206",2
"ARKANSAS","LITTLE ROCK","72223",2
"ARKANSAS","RUSSELLVILLE","72801",2
"CALIFORNIA","ANAHEIM","92802",2
"CALIFORNIA","ANAHEIM","92804",2
"CALIFORNIA","ANZA","92539",2
"CALIFORNIA","ARTESIA","90701",2
"CALIFORNIA","BALDWIN PARK","91706",2
"CALIFORNIA","BERKELEY","94710",2
"CALIFORNIA","BERKELEY","94720",2
"CALIFORNIA","BRISBANE","94005",2
"CALIFORNIA","BURBANK","91506",2
"CALIFORNIA","CARLSBAD","92010",2
"CALIFORNIA","CARMEL","93923",2
"CALIFORNIA","CARPINTERIA","93013",2
"CALIFORNIA","CHATSWORTH","91311",2
"CALIFORNIA","CHULA VISTA","91910",2
"CALIFORNIA","CHULA VISTA","91911",2
"CALIFORNIA","CITY OF INDUSTRY","91744",2
"CALIFORNIA","CITY OF INDUSTRY","91746",2
"CALIFORNIA","CONCORD","94518",2
"CALIFORNIA","CORONA","92879",2
"CALIFORNIA","COSTA MESA","92627",2
"CALIFORNIA","DANA POINT","92629",2
"CALIFORNIA","DEL MAR","92014",2
"CALIFORNIA","DOWNEY","90241",2
"CALIFORNIA","EL CENTRO","92243",2
"CALIFORNIA","ELK GROVE","95758",2
"CALIFORNIA","FAIRFIELD","94534",2
"CALIFORNIA","FONTANA","92337",2
"CALIFORNIA","FULLERTON","92831",2
"CALIFORNIA","FULLERTON","92835",2
"CALIFORNIA","GARDEN GROVE","92840",2
"CALIFORNIA","GARDEN GROVE","92841",2
"CALIFORNIA","GLENDALE","91201",2
"CALIFORNIA","GLENDALE","91204",2
"CALIFORNIA","GLENDALE","91206",2
"CALIFORNIA","HUNTINGTON BEACH","92647",2
"CALIFORNIA","HUNTINGTON BEACH","92649",2
"CALIFORNIA","IRVINE","92604",2
"CALIFORNIA","IRVINE","92697",2
"CALIFORNIA","LAGUNA NIGUEL","92677",2
"CALIFORNIA","LAKEWOOD","90712",2
"CALIFORNIA","LONG BEACH","90810",2
"CALIFORNIA","LOS ANGELES","90004",2
"CALIFORNIA","LOS ANGELES","90018",2
"CALIFORNIA","LOS ANGELES","90034",2
"CALIFORNIA","LOS ANGELES","90037",2
"CALIFORNIA","LOS ANGELES","90039",2
"CALIFORNIA","LOS ANGELES","90065",2
"CALIFORNIA","LOS ANGELES","90079",2
"CALIFORNIA","MANHATTAN BEACH","90266",2
"CALIFORNIA","MERCED","95341",2
"CALIFORNIA","MERCED","95343",2
"CALIFORNIA","MONTEREY","93940",2
"CALIFORNIA","MORGAN HILL","95037",2
"CALIFORNIA","NORTHRIDGE","91324",2
"CALIFORNIA","ONTARIO","91764",2
"CALIFORNIA","OXNARD","93030",2
"CALIFORNIA","PACIFIC PALISADES","90272",2
"CALIFORNIA","PACOIMA","91331",2
"CALIFORNIA","PARAMOUNT","90723",2
"CALIFORNIA","PASADENA","91105",2
"CALIFORNIA","PASADENA","91106",2
"CALIFORNIA","PLEASANT HILL","94523",2
"CALIFORNIA","POWAY","92064",2
"CALIFORNIA","RANCHO CORDOVA","95670",2
"CALIFORNIA","RANCHO CORDOVA","95742",2
"CALIFORNIA","REDONDO BEACH","90277",2
"CALIFORNIA","REDWOOD CITY","94062",2
"CALIFORNIA","RICHMOND","94801",2
"CALIFORNIA","RIVERSIDE","92507",2
"CALIFORNIA","RIVERSIDE","92521",2
"CALIFORNIA","SACRAMENTO","95814",2
"CALIFORNIA","SACRAMENTO","95825",2
"CALIFORNIA","SAN BERNARDINO","92480",2
"CALIFORNIA","SAN BRUNO","94025",2
"CALIFORNIA","SAN DIEGO","92128",2
"CALIFORNIA","SAN DIEGO","92130",2
"CALIFORNIA","SAN FERNANDO","91340",2
"CALIFORNIA","SAN FRANCISCO","94109",2
"CALIFORNIA","SAN FRANCISCO","94112",2
"CALIFORNIA","SAN FRANCISCO","94117",2
"CALIFORNIA","SAN JOSE","95133",2
"CALIFORNIA","SAN LEANDRO","94578",2
"CALIFORNIA","SAN LUIS OBISPO","93407",2
"CALIFORNIA","SAN RAFAEL","94901",2
"CALIFORNIA","SANTA ANA","92707",2
"CALIFORNIA","SANTA BARBARA","93106",2
"CALIFORNIA","SANTA BARBARA","93108",2
"CALIFORNIA","SANTA CLARITA","91350",2
"CALIFORNIA","SANTA MONICA","90409",2
"CALIFORNIA","SARATOGA","95070",2
"CALIFORNIA","SAUSALITO","94966",2
"CALIFORNIA","SHERMAN OAKS","91411",2
"CALIFORNIA","SOUTH EL MONTE","91733",2
"CALIFORNIA","SOUTH GATE","90280",2
"CALIFORNIA","SUN VALLEY","91352",2
"CALIFORNIA","SUNNYVALE","94806",2
"CALIFORNIA","TEMPLE CITY","91780",2
"CALIFORNIA","TORRANCE","90504",2
"CALIFORNIA","VISTA","92081",2
"CALIFORNIA","WATSONVILLE","95076",2
"CALIFORNIA","WEST COVINA","91790",2
"CALIFORNIA","WEST HILLS","91307",2
"CALIFORNIA","WESTLAKE VILLAGE","91361",2
"CALIFORNIA","WHITTIER","90606",2
"CALIFORNIA","WOODLAND HILLS","91364",2
"CALIFORNIA CA","PLEASANTON","94588",2
"CALIFORNIA CA","REDWOOD CITY","94065",2
"CALIFORNIA CA","SAN MATEO","94403",2
"CALIFORNIA CA","SANTA CLARA","95050",2
"CALIFORNIA CALIFORNIA","LOS ALTOS","94022",2
"CALIFORNIA CALIFORNIA","PLEASANTON","94588",2
"CALIFORNIA CALIFORNIA","SAN JOSE","95117",2
"CALIFORNIA CALIFORNIA (CA)","MILPITAS","95035",2
"CALIFORNIA DSP CONCEPTS","SANTA CLARA","95051",2
"CALIFORNIA IMPRESSIONS BANQUET HALL","GLENDALE","91203",2
"CALIFORNIA JIU JITSU WORLD LEAGUE","HUNTINGTON BEACH","92649",2
"CALIFORNIA N/A","LAGUNA HILLS","92653",2
"CALIFORNIA N/A","TORRANCE","90502",2
"CALIFORNIA ORANGE COUNTY","IRVINE","92618",2
